"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ "
"data/Raw Data Cleaned/Austin draw 1.csv","2.6570000648498535","-71.57894736842105","204.0701754385965","13.75438596491228","11","11","11","65.05408416654979","-123.23820006521136","282.47002294896635","-275.64912280701753","-85.33333333333333","190.31578947368422"
"data/Raw Data Cleaned/Austin draw 1.csv","0.8299999237060547","-35.41935483870968","74.38709677419355","-2.2580645161290325","6","8","7","-314.6637283168359","-816.2603554221034","-330.91619623167776","-109.80645161290323","-33.16129032258065","76.64516129032258"
"data/Raw Data Cleaned/Austin draw 2.csv","2.0759999752044678","-340.0","874.9090909090909","-429.45454545454544","8","10","9","-24.73196147278905","-45.39670959828516","-51.72555650314615","-1214.909090909091","89.45454545454545","1304.3636363636363"
"data/Raw Data Cleaned/Austin draw 2.csv","2.0759999752044678","-179.06382978723406","469.9574468085106","-219.2340425531915","11","12","13","7.332232048050552","73.76948100671736","105.54923166386754","-649.0212765957447","40.170212765957444","689.1914893617021"
"data/Raw Data Cleaned/Austin draw 2.csv","2.4760000705718994","-51.42857142857143","136.85714285714286","-69.28571428571429","4","5","3","67.9218361031373","1.663088044359629","-297.6622256178249","-188.28571428571428","17.857142857142858","206.14285714285714"
"data/Raw Data Cleaned/Austin draw 2.csv","2.007999897003174","-99.1","268.5","-119.5","10","12","13","-13.853921865395781","-8.772848797906224","-37.55249254089263","-367.6","20.4","388.0"
"data/Raw Data Cleaned/Austin draw 2.csv","2.075000047683716","-81.67619047619047","211.35238095238094","-94.85714285714286","12","12","10","-10.456781364818951","-1.9786851655116873","76.0482546267815","-293.0285714285714","13.18095238095238","306.20952380952383"
"data/Raw Data Cleaned/Austin draw 2.csv","0.8299999237060547","-30.678260869565218","80.55652173913043","-34.71304347826087","5","5","4","73.32454685038238","81.37499867764781","636.6069954921545","-111.23478260869565","4.034782608695652","115.2695652173913"
"data/Raw Data Cleaned/Austin draw 3.csv","2.059000015258789","-420.0","828.0","-458.0","11","9","11","-8.499740832687872","-13.977071408808738","80.76970496496905","-1248.0","38.0","1286.0"
"data/Raw Data Cleaned/Austin draw 3.csv","2.075000047683716","-205.83333333333334","390.6666666666667","-262.8333333333333","12","11","10","38.45201539171424","206.45871929273358","186.65784892057448","-596.5","57.0","653.5"
"data/Raw Data Cleaned/Austin draw 3.csv","2.0759999752044678","-113.7910447761194","222.2089552238806","-153.07462686567163","8","8","10","96.11886504209193","-55.00102499021668","-160.36464158437897","-336.0","39.28358208955224","375.2835820895522"
"data/Raw Data Cleaned/Austin draw 3.csv","2.0759999752044678","-94.81818181818181","190.8181818181818","-128.72727272727272","9","9","10","32.82799446758994","-6.682785671902844","291.51279577746374","-285.6363636363636","33.90909090909091","319.54545454545456"
"data/Raw Data Cleaned/Austin draw 3.csv","2.4090001583099365","-62.981818181818184","180.94545454545454","-70.61818181818182","9","13","9","94.38551631845138","-0.9957042366164243","170.81244323277565","-243.92727272727274","7.636363636363637","251.56363636363636"
"data/Raw Data Cleaned/Austin draw 3.csv","2.0739998817443848","-50.285714285714285","162.64661654135338","-43.30827067669173","10","11","10","4.534955270613816","-48.164486050446065","52.776330142072815","-212.93233082706766","-6.977443609022556","205.95488721804512"
