"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1162.0","-80.0","-924.0","1","0","0","-597.5929192667342","-199.19858110778696","-263.45471069041895","1242.0","2086.0","844.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1052.0","-152.0","-1050.0","2","1","1","-70.224825151194","1000.3439573243611","117.04128736105467","1204.0","2102.0","898.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1266.0","10.0","-1146.0","2","1","1","503.7286830538623","2006.3115089978128","1045.3262024231144","1256.0","2412.0","1156.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1406.0","70.0","-1380.0","3","2","2","-77.69933408007033","1017.4575896387934","-54.092803888191284","1336.0","2786.0","1450.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1474.0","308.0","-1146.0","3","2","2","349.1512085585152","1779.3628592947632","1359.5627566783066","1166.0","2620.0","1454.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1466.0","484.0","-1152.0","3","3","3","-587.1634211999973","801.7402311645518","-210.14118144625823","982.0","2618.0","1636.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1364.0","554.0","-1120.0","3","3","3","-242.92911262049296","388.6590608691464","-375.37364956442053","810.0","2484.0","1674.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1428.0","718.0","-1134.0","2","2","2","211.4601747044529","622.7383907032093","-141.29431973035744","710.0","2562.0","1852.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1382.0","674.0","-1310.0","3","3","3","96.3867534280619","-41.30649537237384","-357.999686108689","708.0","2692.0","1984.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1458.0","780.0","-1162.0","2","2","2","41.30803792431282","-275.3880401528107","206.54062470031644","678.0","2620.0","1942.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1250.0","542.0","-1064.0","2","2","2","-434.08080560756315","-1326.5983162193872","-1591.5716346789186","708.0","2314.0","1606.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1442.0","602.0","-1156.0","2","2","2","-16.856339089380135","-550.2107463200383","-283.1214495919908","840.0","2598.0","1758.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1274.0","428.0","-1090.0","3","2","3","559.0245715429035","480.3163104706943","182.04329129248003","846.0","2364.0","1518.0","Brush Teeth","Brush Teeth"
