Average X, Average Y, Average Z, Number of Peaks X, Number of Peaks Y, Number of Peaks Z, Average Slope X, Average Slope Y, Average Slope Z, Average XY, Average XZ, Average YZ , Activity
-250.4,880,-471.2,3,3,5,24.84625068,29.27319022,-26.91962357,-1130.4,220.8,1351.2,Drawing
-260,861.6,-533.6,4,4,4,-6.880719876,-78.33117537,-54.84098104,-1121.6,273.6,1395.2,Drawing
-286.4,822.4,-556,4,4,5,42.83807805,-53.5476514,-64.2573478,-1108.8,269.6,1378.4,Drawing
-263.2,852.8,-523.2,2,4,4,32.12868928,-140.2435905,-184.8664196,-1116,260,1376,Drawing
-248.8,852,-540,4,4,3,117.2920441,39.34179517,104.914943,-1100.8,291.2,1392,Drawing
-320.8,882.4,-453.6,5,4,4,64.67690542,-7.87671213,-421.0902076,-1203.2,132.8,1336,Drawing
-328.8,887.2,-448,2,4,4,44.97385872,-29.42919462,189.1326685,-1216,119.2,1335.2,Drawing
-298.4,896,-448,4,4,4,76.26021078,-50.21100469,225.1957963,-1194.4,149.6,1344,Drawing
-313.6,862.4,-505.6,5,4,3,7.216294296,-63.49862118,189.5462603,-1176,192,1368,Drawing
-296.8,899.2,-353.6,3,5,4,144.0043879,-29.38396382,684.6389959,-1196,56.8,1252.8,Drawing
-182,978,-254,3,2,3,-152.7046664,82.12066784,-174.9078381,-1160,72,1232,Drawing
-212,702.4,616.8,6,4,7,-675.1725187,475.2046959,-1100.572052,-914.4,-828.8,85.6,Inactive
-586.4,761.6,-146.4,3,6,7,32.12855085,-701.4727398,-1081.65954,-1348,-440,908,Inactive
-761.6,722.4,-236.8,3,3,5,745.3306036,2054.18899,1553.130339,-1484,-524.8,959.2,Inactive
559.2,93.6,-240.8,3,4,6,1437.942702,-1561.464482,-1249.428359,465.6,800,334.4,Combing Hair
542.4,-418.4,-377.6,4,6,3,555.2491718,-45.10312511,888.949963,960.8,920,-40.8,Combing Hair
131.2,-1060.8,-574.4,2,3,2,891.809181,-595.8408449,1285.138941,1192,705.6,-486.4,Combing Hair
569.6,468.8,-20,2,3,4,1831.065078,466.7132118,366.6082008,100.8,589.6,488.8,Raise Arm
816,516.8,153.6,6,5,4,-388.367194,-72.31819543,63.56244694,299.2,662.4,363.2,Combing Hair
739.2,36.8,-376,5,5,5,-649.4123211,375.4758256,-916.2053296,702.4,1115.2,412.8,Combing Hair
451.2,-465.6,-569.6,5,5,2,272.8193655,-346.1134782,1179.051848,916.8,1020.8,104,Combing Hair
734.4,134.4,-695.2,4,5,6,86.79068056,155.2947707,-374.172649,600,1429.6,829.6,Combing Hair
647.2,271.2,-647.2,4,7,6,-336.4316385,-579.2753575,534.3233037,376,1294.4,918.4,Combing Hair
207.2,-454.4,-696,5,8,4,67.9328957,-1380.956939,1237.933878,661.6,903.2,241.6,Combing Hair
